index;x;y;z
0;0.001548;-0.041058;0.034177
1;0.002956;-0.041819;0.037869
2;0.003281;-0.045158;0.036852
3;0.004920;-0.046519;0.031615
4;0.003480;-0.045139;0.022972
5;0.001493;-0.043685;0.026667
6;-0.000157;-0.038435;0.023407
7;0.000953;-0.036818;0.027663
8;0.000599;-0.039435;0.028789
9;0.001632;-0.040698;0.029536
10;0.002612;-0.043514;0.028831
11;0.002740;-0.039861;0.027914
12;0.004080;-0.035915;0.023381
13;0.003668;-0.031430;0.021175
14;0.000894;-0.030501;0.021227
15;0.000988;-0.030640;0.019458
16;-0.000634;-0.028801;0.020944
17;-0.000557;-0.029684;0.022095
18;0.000745;-0.029271;0.027031
19;0.000738;-0.030450;0.023670
20;0.003514;-0.024567;0.019967
21;0.003840;-0.024985;0.018511
22;0.002892;-0.041249;0.019011
23;0.002823;-0.056821;0.030122
24;0.001881;-0.086340;0.050784
25;0.002017;-0.109234;0.058024
26;0.003497;-0.142858;0.069319
27;0.002884;-0.162421;0.081117
28;0.004718;-0.201665;0.096164
29;-0.000700;-0.238436;0.118393
30;0.005614;-0.299728;0.158755
31;0.002218;-0.350307;0.181326
32;0.000766;-0.422830;0.226431
33;0.002984;-0.457987;0.252735
34;0.030841;-0.523319;0.298146
35;0.028618;-0.533601;0.319695
36;0.031515;-0.538797;0.363718
37;0.032383;-0.492241;0.355060
38;0.014450;-0.495918;0.369593
39;0.005418;-0.516060;0.383762
40;-0.009435;-0.504047;0.370258
41;0.003269;-0.500876;0.385370
42;0.010182;-0.508957;0.364084
43;0.007820;-0.511567;0.359199
44;0.004705;-0.519218;0.335025
45;0.010727;-0.523124;0.373727
46;0.006169;-0.532816;0.333817
47;-0.000302;-0.530760;0.293909
48;0.017410;-0.530236;0.314350
49;0.022542;-0.533838;0.320456
50;0.041989;-0.527814;0.338116
51;0.027609;-0.516262;0.347449
52;0.006535;-0.524409;0.306191
53;0.022329;-0.523765;0.325980
54;0.001734;-0.520221;0.351776
55;0.018422;-0.527676;0.312042
56;0.036647;-0.517908;0.348109
57;-0.028692;-0.519881;0.314633
58;0.016812;-0.484886;0.427011
59;-0.009746;-0.531041;0.305850
60;-0.040733;-0.576490;0.299145
61;0.005813;-0.483793;0.376339
62;-0.008939;-0.502870;0.365146
63;0.023239;-0.509939;0.357879
64;-0.017398;-0.507359;0.334637
65;0.007052;-0.540296;0.278463
66;-0.009187;-0.530815;0.269718
67;0.001574;-0.526391;0.338167
68;-0.039568;-0.528483;0.395478
69;-0.139858;-0.633282;0.263608
70;-0.144665;-0.471527;0.276258
71;0.085841;-0.400736;0.256706
72;-0.004375;-0.453371;0.356519
73;-0.066927;-0.578965;0.380760
74;-0.058719;-0.595219;0.321039
75;0.055038;-0.619762;0.408650
76;0.074541;-0.547953;0.305142
77;-0.008120;-0.457086;0.298246
78;0.181594;-0.749683;0.563151
79;0.015728;-0.568918;0.439662
80;0.144771;-0.412981;0.478003
81;-0.032410;-0.545757;0.248103
82;-0.027490;-0.473378;0.148816
83;0.043091;-0.586282;0.390861
84;-0.014627;-0.551512;0.312144
85;0.063363;-0.430312;0.377075
86;0.033265;-0.547725;0.335725
87;0.011361;-0.558288;0.331271
88;0.005770;-0.489621;0.285983
89;-0.007067;-0.490865;0.284594
90;-0.011728;-0.549924;0.353589
91;-0.009680;-0.559205;0.330876
92;0.044763;-0.504052;0.398415
93;-0.022950;-0.492318;0.283303
94;0.055613;-0.553520;0.289470
95;0.001770;-0.540364;0.333737
96;0.047865;-0.497656;0.351811
97;0.032283;-0.500753;0.302270
98;-0.036625;-0.555580;0.343015
99;-0.000474;-0.503821;0.397232
100;-0.018011;-0.541827;0.318332
101;0.010640;-0.482626;0.334920
102;0.030514;-0.462803;0.397409
103;-0.008862;-0.520386;0.271222
104;0.009961;-0.497006;0.310271
105;0.086313;-0.500956;0.315220
106;0.019203;-0.531419;0.259985
107;-0.088042;-0.457346;0.331815
108;-0.008743;-0.573052;0.343747
109;0.056410;-0.517608;0.311162
110;0.100822;-0.427637;0.395068
111;0.046166;-0.489055;0.399605
112;-0.010410;-0.576858;0.356596
113;0.031887;-0.494499;0.290829
114;-0.006960;-0.494466;0.229326
115;-0.059006;-0.506691;0.376802
116;0.007423;-0.533220;0.314695
117;-0.000620;-0.484494;0.382138
118;0.018301;-0.538911;0.329987
119;0.027442;-0.497014;0.318968
120;0.000269;-0.569126;0.331954
121;-0.017966;-0.462796;0.240151
122;0.071476;-0.433241;0.263433
123;0.033769;-0.530699;0.237443
124;0.020702;-0.499532;0.291467
125;0.034848;-0.528620;0.203487
126;-0.011227;-0.471172;0.361920
127;0.014063;-0.564750;0.320111
128;0.046587;-0.544940;0.250047
129;-0.014445;-0.524507;0.295854
130;0.020363;-0.544158;0.302452
131;-0.033776;-0.434228;0.201777
132;0.029181;-0.450074;0.329466
133;0.004148;-0.458487;0.276481
134;0.041969;-0.406165;0.296132
135;0.050728;-0.454414;0.324112
136;0.040171;-0.443961;0.296477
137;-0.029848;-0.445344;0.226325
138;0.024606;-0.456884;0.217275
139;-0.003107;-0.440793;0.258699
140;0.047969;-0.205993;0.385698
141;-0.088797;-0.267366;0.118452
142;0.072449;-0.050331;0.113493
143;-0.099904;-0.072324;-0.005873
144;-0.009721;-0.088655;0.101834
145;0.036681;0.113854;0.156208
146;-0.071493;-0.078342;0.026952
147;-0.035120;0.038762;-0.089593
148;0.046678;-0.025052;-0.100838
149;-0.040525;0.037487;0.014652
150;0.009696;-0.028367;-0.050315
