index;x;y;z
0;-0.002817;-0.055977;0.027408
1;-0.000982;-0.066830;0.035895
2;0.010774;-0.063480;0.025567
3;0.001248;-0.058858;0.039414
4;0.000423;-0.054402;0.042360
5;-0.002648;-0.052093;0.034857
6;-0.000464;-0.051847;0.026558
7;-0.000686;-0.049749;0.027438
8;0.000557;-0.049410;0.031056
9;-0.000875;-0.047352;0.040586
10;-0.001162;-0.048635;0.044766
11;-0.001874;-0.051020;0.040149
12;-0.000299;-0.054343;0.035686
13;0.000158;-0.051525;0.026513
14;0.001423;-0.045500;0.025114
15;-0.000861;-0.038945;0.026038
16;-0.001402;-0.035560;0.026189
17;-0.001937;-0.036703;0.026879
18;-0.001934;-0.038433;0.029218
19;0.000775;-0.040885;0.026833
20;-0.002294;-0.038235;0.022854
21;0.001316;-0.043445;0.032180
22;0.001446;-0.047065;0.025774
23;-0.000146;-0.050852;0.037425
24;0.001146;-0.044194;0.033489
25;-0.000553;-0.044004;0.036071
26;-0.000743;-0.041630;0.030409
27;-0.000729;-0.054042;0.031333
28;-0.001128;-0.063481;0.034461
29;0.001779;-0.077425;0.051807
30;0.001569;-0.094505;0.054229
31;0.003203;-0.119054;0.067399
32;0.004440;-0.144081;0.075769
33;0.003414;-0.171074;0.089322
34;0.003482;-0.194468;0.103131
35;0.002240;-0.224628;0.115915
36;0.000973;-0.249382;0.135976
37;0.004383;-0.270947;0.150284
38;0.001555;-0.283923;0.170071
39;0.002968;-0.298307;0.183498
40;0.006636;-0.309212;0.190952
41;0.004792;-0.331349;0.222264
42;0.007933;-0.363867;0.234136
43;0.007602;-0.399129;0.254838
44;0.000983;-0.440617;0.274448
45;-0.003075;-0.463257;0.284325
46;0.021081;-0.484939;0.311096
47;0.018564;-0.509383;0.326682
48;0.013534;-0.508481;0.327859
49;0.004617;-0.515613;0.340872
50;0.017209;-0.523046;0.371290
51;-0.015890;-0.512725;0.350310
52;0.014487;-0.507171;0.370310
53;0.009948;-0.509855;0.340083
54;0.015599;-0.513185;0.363594
55;-0.006188;-0.509543;0.330134
56;0.004500;-0.521238;0.336611
57;0.014883;-0.531128;0.344278
58;-0.055121;-0.523145;0.289796
59;0.030807;-0.526192;0.319215
60;0.007364;-0.509157;0.332388
61;0.025398;-0.516871;0.337549
62;0.032784;-0.532970;0.328188
63;0.001950;-0.515522;0.297254
64;-0.008225;-0.518055;0.305058
65;-0.007142;-0.530832;0.284785
66;-0.014960;-0.531448;0.363734
67;0.018278;-0.498924;0.374076
68;0.007299;-0.494485;0.325168
69;-0.003685;-0.510427;0.353523
70;0.027276;-0.520301;0.328760
71;-0.006656;-0.533531;0.335411
72;-0.003840;-0.525290;0.285916
73;-0.036535;-0.529155;0.309074
74;0.023662;-0.501472;0.303843
75;-0.051446;-0.533384;0.328517
76;0.005451;-0.519182;0.301812
77;-0.008892;-0.506903;0.340073
78;0.006053;-0.523589;0.335173
79;0.013811;-0.492737;0.389822
80;0.012351;-0.535789;0.332865
81;-0.003427;-0.505543;0.289551
82;0.027240;-0.529599;0.321224
83;-0.006639;-0.481297;0.332191
84;-0.020073;-0.491988;0.399959
85;-0.051622;-0.506762;0.354753
86;-0.038171;-0.520314;0.376633
87;-0.002687;-0.498945;0.331000
88;-0.040748;-0.496172;0.321626
89;0.044844;-0.531337;0.306118
90;0.035138;-0.514970;0.362131
91;0.007762;-0.485784;0.288710
92;-0.013664;-0.509333;0.320540
93;0.038011;-0.519383;0.350297
94;-0.024499;-0.506356;0.278653
95;0.006775;-0.506715;0.331707
96;0.032941;-0.496937;0.394164
97;0.019005;-0.491945;0.363297
98;0.031275;-0.516905;0.316075
99;-0.001174;-0.532312;0.327165
100;-0.014567;-0.531669;0.287798
101;0.004750;-0.518206;0.294706
102;-0.016556;-0.517299;0.337359
103;0.029885;-0.532444;0.306458
104;-0.007286;-0.543747;0.295477
105;0.017645;-0.514105;0.298569
106;0.043634;-0.513658;0.282715
107;0.027471;-0.534980;0.326912
108;0.061767;-0.506990;0.319118
109;0.035078;-0.532113;0.284824
