index;x;y;z
174;0.004480;-0.001312;0.002660
175;0.001863;-0.001679;0.003589
176;0.001209;-0.001874;0.003985
177;-0.000510;-0.003259;0.004471
178;-0.000068;-0.002582;0.005613
179;0.002191;-0.002965;0.004327
180;0.001247;-0.002892;0.004816
181;0.002101;-0.002333;0.004420
182;0.002864;-0.002016;0.003319
183;0.002390;-0.000839;0.005622
184;0.002650;-0.002169;0.006059
185;0.000001;0.000102;0.004090
186;0.000147;-0.000375;0.006144
187;-0.001734;-0.001076;0.004270
188;-0.000554;-0.000710;0.003842
189;0.000146;-0.002125;0.002140
190;0.000786;0.000023;0.002935
191;0.002772;-0.001664;0.005202
192;0.000668;0.000382;0.003012
193;0.000383;-0.001368;0.003540
194;0.001275;0.000098;0.003801
195;-0.000461;-0.001806;0.004121
196;0.001075;-0.000948;0.004349
197;0.000366;-0.003252;0.002895
198;0.000983;-0.001846;0.005634
199;-0.000230;-0.000517;0.002925
200;0.001021;0.000542;0.001261
201;0.000469;0.000326;0.002887
202;-0.001018;0.000297;0.003950
203;0.000220;-0.000330;0.004191
204;0.000779;-0.001174;0.005847
205;0.001547;-0.000059;0.002747
206;0.003157;-0.000246;0.004583
207;0.000575;0.002032;0.002559
208;0.000208;0.001618;0.004067
209;-0.000565;0.001837;0.001852
210;-0.000750;0.002024;0.002892
211;0.002198;0.000652;0.003802
212;0.000124;0.001815;0.001904
213;0.002230;0.000180;0.003957
214;0.000725;0.000672;0.002907
215;0.000938;0.000293;0.004666
216;0.000089;0.000118;0.005811
217;-0.000194;-0.000856;0.003043
218;0.000412;0.001388;0.003680
219;-0.000077;-0.001015;0.001169
220;-0.000536;-0.000181;0.002033
221;0.002107;-0.000287;0.004434
222;0.000063;0.000328;0.001192
223;0.002101;-0.000684;0.001063
224;0.000640;-0.000669;0.002137
225;0.001153;0.000357;0.004704
226;0.000442;0.000381;0.001753
227;-0.000734;0.001157;0.002095
228;0.000293;0.001082;0.004434
229;-0.000009;0.001752;0.001893
230;0.001472;0.002004;0.003603
231;-0.000516;0.001373;0.001810
232;-0.000114;0.001953;0.002145
233;0.000943;0.000460;0.003150
234;0.001727;0.002221;0.001619
235;0.001941;0.000414;0.001843
236;0.001568;-0.000121;0.002866
237;-0.000035;0.000009;0.002617
238;0.001340;0.001350;0.003697
239;-0.002049;-0.000011;0.003832
240;-0.000843;0.000398;0.002955
241;0.000377;-0.000955;0.002988
242;-0.001615;0.000143;0.002439
243;0.000119;-0.000582;0.003325
244;0.001380;0.000381;0.003736
245;0.001563;0.000683;0.004531
246;0.001063;0.001277;0.003149
247;-0.000179;0.001309;0.003566
248;0.002329;-0.000419;0.004840
249;-0.000609;0.001250;0.003164
250;0.001048;0.001158;0.003119
251;-0.000481;0.001529;0.001992
252;-0.000327;0.001368;0.000621
253;0.000106;0.001517;0.000262
254;0.000200;0.002243;0.001217
255;0.000989;0.001377;0.000794
256;0.001459;0.002450;0.003018
257;0.000293;0.001184;0.004406
258;0.000360;0.000573;0.003857
259;-0.000484;-0.000005;0.003209
260;-0.000251;0.002131;0.002614
261;0.000064;-0.000771;0.002987
262;-0.000297;0.000431;0.003315
263;0.000326;0.000860;0.001529
264;-0.001558;0.001181;0.001138
265;0.002201;0.000956;0.004331
266;0.000700;0.000726;0.003070
267;0.001377;0.001201;0.005129
268;0.001496;-0.000048;0.004013
269;0.000791;0.001142;0.001008
270;0.000485;0.002146;0.003777
271;-0.001296;0.002518;0.001169
272;0.000703;0.003018;0.002895
273;-0.001315;0.000901;0.002145
274;-0.000204;0.002410;0.002639
275;0.000487;0.001775;0.002329
276;-0.000746;0.002333;0.000682
277;0.000059;0.001815;0.003740
278;0.000906;0.002338;0.004027
279;-0.000720;0.000610;0.002854
280;0.000630;0.000536;0.004387
281;0.001082;0.000485;0.003307
282;0.000248;0.000139;0.003595
283;-0.000103;0.000660;0.002165
284;0.000329;-0.000700;0.003362
285;0.000813;0.000546;0.003808
286;-0.000230;0.001342;0.003120
287;0.003033;0.000325;0.002765
288;-0.000345;0.001826;0.002808
289;-0.000320;0.001899;0.002184
290;-0.000350;0.001253;0.003697
291;-0.000181;0.003079;0.002378
292;0.001696;0.001687;0.004669
293;-0.000278;0.002568;0.001100
294;0.000519;0.001587;0.001133
295;-0.000126;0.001530;0.002128
296;-0.001992;0.001406;0.002420
297;0.000539;0.000745;0.003033
298;0.000817;0.001328;0.003107
299;-0.000167;0.001000;0.003407
300;0.001802;0.000538;0.003933
301;-0.000476;0.000690;0.004955
302;0.000496;0.000308;0.002154
303;-0.000516;-0.000204;0.003035
304;-0.000487;0.000786;0.003188
305;-0.000239;-0.000040;0.003180
306;-0.000229;-0.000486;0.001870
307;-0.000645;0.001029;0.003652
308;0.001355;-0.000312;0.002843
309;0.001008;0.002050;0.003867
310;0.002189;0.000414;0.002670
311;0.000215;0.002043;0.002144
312;-0.000927;0.001592;0.002659
313;-0.001721;0.002657;0.003628
314;-0.000011;0.001236;0.001752
315;-0.000084;0.003360;0.001431
316;-0.000280;0.001225;0.001436
317;0.001430;0.002354;0.002930
318;0.000805;0.001513;0.000322
319;0.001509;-0.001011;0.004965
320;0.000874;0.000547;0.002904
321;0.000112;0.000535;0.004596
322;-0.000130;0.001029;0.003189
323;-0.000191;0.000899;0.001811
324;0.000040;0.000740;0.002636
325;0.000588;0.001025;0.000349
326;0.000853;0.000598;0.000919
327;0.003208;0.002505;0.001946
328;0.001535;-0.000689;0.002657
329;0.001298;0.001057;0.004438
330;0.000796;-0.001187;0.004905
331;-0.000862;0.001069;0.001657
332;-0.000327;0.001176;0.002085
333;-0.002588;0.002519;0.000070
334;0.000041;0.001981;0.003719
335;-0.001593;0.002465;0.002913
336;0.000200;0.002095;0.005012
337;-0.001627;0.000717;0.003367
338;-0.000613;0.000921;0.003805
339;-0.000218;-0.000400;0.003411
340;-0.000667;0.002277;0.001203
341;0.000996;0.001164;0.001196
342;0.000567;0.000759;0.002686
343;-0.000630;0.000194;0.001191
344;0.000339;0.000539;0.004359
345;0.000667;-0.000346;0.004726
346;-0.000658;0.000449;0.004817
347;0.001118;-0.000178;0.001965
348;-0.002839;0.000102;0.001824
349;0.000434;0.001602;0.002401
350;-0.001059;-0.000114;0.003503
351;0.001012;0.001711;0.005063
352;0.001106;0.001230;0.005745
353;0.000451;0.001529;0.001924
354;0.001515;0.001009;0.004784
355;-0.000701;0.002449;0.001912
356;-0.000651;0.001722;0.002870
357;-0.001688;0.002479;0.000895
358;-0.001920;0.001451;0.000944
359;-0.001004;0.002736;0.002965
360;-0.002042;0.003416;0.001204
361;0.001152;0.001561;0.003901
362;0.000151;0.002162;0.002213
363;0.000180;-0.000238;0.003488
364;0.000742;0.001530;0.003678
365;-0.001383;0.000214;0.002360
366;0.000934;0.000832;0.002295
367;0.000338;0.000624;0.002674
368;-0.001140;0.002488;0.001659
369;-0.000355;0.000476;0.004221
370;0.000186;0.000607;0.002201
371;0.000733;0.000905;0.002785
372;0.000073;0.000404;0.002952
373;0.001300;0.003402;0.004447
374;0.001650;0.003201;0.003146
375;-0.001403;0.003261;0.001809
376;-0.000148;0.002156;0.003843
377;0.000514;0.002900;0.001282
378;-0.000000;0.001343;0.002488
379;0.000119;0.001930;0.002789
380;-0.000268;0.001581;0.002071
381;0.001289;0.000597;0.002946
382;-0.000985;0.003653;0.001386
383;-0.000640;0.001774;0.001478
384;0.001696;0.001231;0.002167
385;-0.000598;0.000553;0.003230
386;-0.000688;0.002273;0.002597
387;-0.002169;-0.000751;0.000956
388;0.000463;-0.000832;0.005155
389;-0.000279;0.000663;0.003614
390;-0.001073;-0.000388;0.001654
391;0.004050;0.000899;0.001344
392;0.000423;0.000092;0.002291
393;0.000017;0.002081;0.001967
394;0.000354;0.000964;0.005234
395;-0.001371;0.001578;0.005018
396;-0.000408;0.000277;0.004059
397;-0.000897;0.002732;-0.000893
398;0.001041;0.002392;0.003885
399;0.000261;0.002953;0.001208
400;-0.000006;0.003434;0.002083
401;0.000643;0.000701;0.001900
402;-0.000565;0.002580;0.001999
403;0.000486;0.000473;0.003455
404;0.000375;0.003071;0.001112
405;0.000693;0.000565;0.000579
406;0.000494;0.002146;0.001376
407;-0.000084;0.001249;0.002442
408;-0.000819;0.002131;0.002210
409;-0.000105;-0.000106;0.002207
410;-0.000439;0.000049;0.004509
