index;x;y;z
0;0.001355;-0.009819;0.012636
1;0.001287;-0.009669;0.011317
2;0.002176;-0.007580;0.008327
3;0.000527;-0.007232;0.009166
4;-0.000601;-0.005392;0.006201
5;0.000530;-0.003441;0.007607
6;0.000622;-0.006088;0.007060
7;0.000525;-0.006730;0.007234
8;-0.001844;-0.008992;0.008344
9;-0.002447;-0.006375;0.009398
10;0.001812;-0.005163;0.007815
11;-0.000058;-0.005147;0.005691
12;0.002011;-0.006344;0.007004
13;0.000568;-0.005633;0.007211
14;0.000812;-0.006407;0.011163
15;0.003854;-0.006121;0.010091
16;-0.001697;-0.006035;0.010959
17;0.000130;-0.006918;0.009788
18;-0.000916;-0.005501;0.008056
19;-0.000455;-0.005079;0.006935
20;0.002601;-0.002438;0.007948
21;0.000165;-0.004770;0.009915
22;0.002067;-0.003775;0.009000
23;0.001745;-0.005476;0.009466
24;-0.000000;-0.003664;0.007415
25;0.001345;-0.004419;0.008354
26;-0.001325;-0.002792;0.004167
27;-0.000045;-0.002175;0.003254
28;0.000037;-0.002656;0.004272
29;-0.001274;-0.003476;0.005684
30;0.001280;-0.004249;0.006584
31;-0.000859;-0.004175;0.007429
32;0.001757;-0.004917;0.007658
33;0.001645;-0.002918;0.004741
34;-0.000762;-0.003056;0.006056
35;0.001203;-0.001342;0.004768
36;-0.001276;-0.003122;0.006691
37;-0.000149;-0.004173;0.007386
38;-0.000433;-0.005405;0.010510
39;-0.002166;-0.005494;0.007290
40;0.001037;-0.004271;0.005916
41;0.000158;-0.001752;0.004898
42;0.000111;-0.001137;0.004993
43;0.001204;-0.000929;0.004979
44;0.001496;0.000144;0.005891
45;0.001283;-0.002194;0.008216
46;-0.001270;-0.004699;0.005926
47;0.000058;-0.004313;0.004689
48;-0.000710;-0.001061;0.003207
49;-0.001374;-0.000792;0.004865
50;0.001801;-0.000539;0.004635
51;0.000430;0.000106;0.003474
52;0.001214;-0.001430;0.004576
53;0.000782;-0.003087;0.004412
54;-0.000413;-0.003720;0.005568
55;0.001597;-0.004663;0.005517
56;-0.000525;-0.002084;0.005530
57;-0.000138;-0.000179;0.005505
58;-0.000878;-0.000366;0.005310
59;0.000137;-0.000164;0.006255
60;0.000972;-0.000265;0.006517
61;-0.000297;-0.000368;0.004130
62;-0.000765;-0.001651;0.006396
63;-0.000441;-0.001816;0.006253
64;0.000210;-0.000351;0.005641
65;-0.000082;0.001768;0.007380
66;-0.000346;0.000694;0.003176
67;0.002653;0.001923;0.003377
68;0.000020;-0.000089;0.002956
69;-0.000222;0.001151;0.003825
70;0.000989;-0.000095;0.004296
71;0.000359;-0.000136;0.005012
72;0.000672;-0.001920;0.003715
73;-0.000200;-0.000984;0.004731
74;0.001915;-0.001741;0.004451
75;0.000928;0.000834;0.003148
76;0.001111;0.000377;0.004265
77;0.001398;-0.000107;0.003952
78;-0.001195;-0.000981;0.007196
79;-0.000902;-0.001525;0.004839
80;0.000114;-0.000870;0.006773
81;-0.001029;-0.000826;0.004792
82;0.000630;0.000499;0.004847
83;0.001355;0.000263;0.004196
