index;x;y;z
0;0.004136;0.000520;0.036681
1;-0.007242;0.002611;-0.016865
2;-0.004957;0.000944;-0.000414
3;-0.002518;0.001756;0.003659
4;-0.000548;0.001086;0.005443
5;-0.001220;0.001338;0.005270
6;0.000007;0.003084;0.005308
7;-0.001573;0.002790;0.000555
8;-0.000690;0.005660;0.001225
9;-0.000716;0.001362;0.003916
10;-0.000417;0.002581;0.000775
11;0.001221;0.001791;0.000646
12;0.000540;0.002438;0.001627
13;0.001828;0.003113;0.000887
14;0.000600;0.003398;0.003277
15;-0.001962;-0.002610;0.004907
16;-0.001230;-0.005970;0.003719
17;0.001364;-0.019105;0.019592
18;0.000766;-0.054896;0.031223
19;0.006177;-0.103198;0.041914
20;0.008547;-0.191868;0.071366
21;0.000918;-0.267785;0.108839
22;0.022000;-0.356513;0.149707
23;0.018275;-0.424438;0.166885
24;0.019364;-0.485718;0.219271
25;0.024262;-0.512484;0.294764
26;0.024748;-0.482889;0.329517
27;0.019355;-0.414535;0.341384
28;0.022804;-0.430689;0.354180
29;0.028062;-0.444073;0.349057
30;0.026942;-0.450114;0.349037
31;0.030473;-0.446378;0.370855
32;0.021615;-0.446572;0.348599
33;0.029518;-0.464173;0.318290
34;0.028316;-0.474104;0.315627
35;0.021670;-0.478154;0.305539
36;0.007365;-0.476490;0.315126
37;0.006495;-0.468367;0.328126
38;0.004911;-0.485095;0.307007
39;0.035853;-0.491495;0.283201
40;0.030931;-0.484882;0.280852
41;0.032694;-0.475304;0.311334
42;0.020850;-0.480205;0.307619
43;0.015560;-0.484062;0.286777
44;0.017482;-0.480252;0.273569
45;0.035951;-0.464862;0.329269
46;0.036160;-0.460324;0.342143
47;0.011460;-0.482808;0.262567
48;0.002151;-0.481989;0.269366
49;0.033000;-0.469416;0.325856
50;0.012947;-0.464155;0.326537
51;0.037707;-0.482276;0.285332
52;0.037292;-0.470716;0.317902
53;0.045529;-0.460717;0.315551
54;0.026838;-0.477811;0.316332
55;0.011544;-0.476084;0.276631
56;0.015200;-0.482931;0.294332
57;0.017243;-0.481787;0.280696
58;0.036916;-0.494003;0.240867
59;0.009632;-0.442729;0.336569
60;0.004334;-0.478024;0.335289
61;0.025303;-0.480694;0.301204
62;0.019705;-0.441477;0.330766
63;0.042262;-0.466777;0.311937
64;0.014933;-0.458494;0.312235
65;0.038667;-0.476170;0.328494
66;0.039012;-0.459907;0.381889
67;0.039705;-0.493230;0.294292
68;0.016368;-0.507168;0.311057
69;0.021083;-0.446996;0.305962
70;0.044095;-0.471172;0.304413
71;0.037587;-0.436853;0.262887
72;0.039014;-0.415713;0.351100
73;0.007727;-0.529062;0.333613
74;0.002639;-0.484316;0.279055
75;0.070968;-0.463303;0.358571
76;0.034931;-0.490078;0.306755
77;0.048521;-0.460812;0.360465
78;0.022313;-0.484187;0.299904
79;0.054240;-0.508407;0.293702
80;0.003246;-0.474491;0.290604
81;0.057359;-0.465447;0.331354
82;0.039738;-0.487366;0.360981
83;0.054805;-0.443228;0.282199
84;0.071478;-0.496910;0.290957
85;0.028630;-0.472693;0.309862
86;0.017688;-0.473827;0.312526
87;0.018575;-0.475869;0.254152
88;0.057760;-0.483647;0.308232
89;0.019977;-0.481715;0.285574
90;0.013322;-0.448156;0.284978
91;0.011934;-0.546372;0.081106
92;-0.004387;-0.393862;0.273641
93;0.022829;-0.528154;0.409588
94;0.036828;-0.490896;0.249107
95;0.045735;-0.469435;0.381019
96;0.041117;-0.493786;0.179892
97;0.083030;-0.425846;0.241110
98;0.058630;-0.695994;0.381756
99;0.051463;-0.431602;0.148533
100;0.053815;-0.344206;0.366890
101;0.033332;-0.441589;0.086113
102;0.064225;-0.444204;0.284057
103;0.059085;-0.519790;0.307752
104;0.044111;-0.486600;0.376324
105;0.005885;-0.493625;0.306587
106;0.019670;-0.449426;0.337599
107;0.046586;-0.434879;0.348831
108;0.062348;-0.488131;0.309074
109;0.012287;-0.474910;0.345331
110;0.024315;-0.487566;0.256130
111;0.037630;-0.495465;0.176087
112;0.021604;-0.469719;0.278319
113;0.021141;-0.480530;0.322206
114;0.015947;-0.450959;0.289805
115;0.012736;-0.417495;0.280540
116;0.020923;-0.412740;0.324916
117;0.002496;-0.531066;0.254262
118;0.023084;-0.458495;0.393154
119;0.069785;-0.444637;0.072343
120;0.045705;-0.351293;0.387479
121;0.048919;-0.431386;0.088818
122;0.120638;-0.470152;0.185571
123;-0.043149;-0.258414;0.138235
124;0.053017;-0.188360;0.160596
125;-0.000387;-0.210267;-0.070151
126;0.007548;-0.176542;0.098494
127;0.044980;-0.131790;0.137397
128;-0.039135;-0.094180;0.177124
129;0.007107;-0.093692;0.053677
130;0.041032;-0.054431;-0.083599
131;0.019812;-0.064135;0.044593
132;0.035744;-0.007109;0.096001
133;-0.001817;-0.029477;-0.007303
134;-0.064625;-0.006961;-0.012363
135;-0.003936;-0.000044;0.069422
136;-0.010011;-0.001962;-0.056284
137;-0.002082;0.016044;-0.015235
138;0.032426;0.012263;-0.034398
139;0.005849;0.010670;-0.022379
140;-0.019574;0.003601;-0.028305
141;0.000140;0.036898;0.079088
142;-0.031844;0.018797;-0.067084
143;0.034333;0.033668;-0.019585
144;0.000346;0.025621;0.007740
145;-0.002358;0.031325;-0.094136
146;-0.034732;0.075606;-0.202831
147;0.001853;0.040412;0.021498
148;-0.034097;0.034657;-0.070543
149;0.037225;0.071448;0.051601
150;-0.002103;0.071911;0.073445
151;0.010745;0.070760;-0.039343
152;-0.035742;0.087264;-0.019376
153;-0.022372;0.088573;0.060864
154;-0.022003;0.102311;-0.006610
155;-0.011725;0.087342;-0.050528
156;-0.039885;0.103259;-0.006413
157;0.016918;0.102446;-0.037398
158;-0.042433;0.099563;-0.055589
159;-0.027551;0.109362;-0.050408
160;-0.022362;0.108262;-0.062899
161;-0.030775;0.092743;-0.054491
162;0.004600;0.131347;-0.041126
163;-0.009251;0.119800;-0.113176
164;-0.017185;0.119648;-0.072738
165;0.000418;0.147561;-0.095407
166;0.002857;0.141715;-0.063004
167;-0.026640;0.126175;-0.125328
168;-0.013685;0.138278;-0.137336
169;0.001275;0.140584;-0.145225
170;-0.015644;0.141209;-0.156660
171;0.026679;0.131653;-0.055336
172;0.004575;0.154035;-0.064503
173;0.008541;0.178668;-0.078384
174;-0.008401;0.166435;-0.065943
175;-0.029070;0.175274;-0.060027
176;0.042651;0.186011;-0.037801
177;-0.005883;0.212782;-0.066365
178;0.033046;0.176489;-0.039140
179;-0.040081;0.212456;-0.083221
180;-0.034658;0.190078;-0.075901
181;-0.010928;0.168232;-0.048473
182;-0.040931;0.205162;-0.208440
183;0.029125;0.199442;0.115586
184;0.007829;0.197700;0.005520
185;-0.047372;0.163262;-0.157050
186;-0.021699;0.152751;-0.196196
187;0.017356;0.183376;-0.085041
188;0.010298;0.156982;-0.117295
189;-0.017646;0.171797;-0.147011
190;-0.015748;0.185815;-0.117749
191;-0.014708;0.171918;-0.079680
192;-0.007075;0.184816;-0.092162
193;0.002682;0.162694;-0.106902
194;0.027216;0.209518;-0.039300
195;-0.007981;0.164881;-0.141074
196;-0.033191;0.174701;-0.156772
197;-0.012184;0.186867;0.007352
198;-0.006639;0.162281;-0.089969
199;0.002900;0.204389;-0.067822
200;0.000633;0.202198;-0.014461
201;0.013527;0.190790;-0.048679
202;0.040657;0.199669;-0.040907
203;-0.029513;0.183657;-0.130845
204;0.025356;0.226133;-0.069054
205;-0.012034;0.165925;-0.100483
206;-0.019698;0.214903;-0.180584
207;0.034148;0.174905;-0.017622
208;-0.006544;0.172925;-0.012295
209;0.002735;0.170033;-0.216999
210;0.007564;0.165495;-0.130175
211;-0.033522;0.170827;-0.200210
212;0.008333;0.177322;-0.151445
213;0.017850;0.183703;-0.069249
214;-0.053985;0.108238;-0.065704
215;0.042760;0.255781;-0.073906
216;-0.045824;0.191033;-0.108359
217;0.000108;0.160675;-0.030773
218;0.025101;0.249056;-0.051866
219;-0.010910;0.088027;-0.117409
220;-0.010683;0.152496;0.056559
221;-0.090508;0.312225;0.042389
222;0.105724;0.271883;0.122912
223;-0.132268;0.119309;-0.266208
224;-0.009452;0.172622;-0.191355
225;0.034643;0.205095;-0.025567
226;-0.045594;0.141676;0.020370
227;-0.010823;0.218598;-0.099700
228;0.078371;0.218525;-0.046525
229;-0.011847;0.177762;-0.098114
230;0.041991;0.147720;-0.061522
231;0.013183;0.149611;-0.118123
232;0.013583;0.211809;-0.020466
233;-0.021282;0.157800;-0.283794
234;-0.011201;0.181461;-0.146217
235;0.026934;0.183330;-0.109927
236;-0.049131;0.210290;-0.098651
237;-0.048684;0.202448;-0.189550
238;-0.007146;0.172111;-0.087879
239;0.013386;0.176329;-0.059500
240;0.008033;0.164815;-0.140576
241;-0.006733;0.178557;-0.109894
242;-0.008498;0.200671;-0.094334
243;0.003288;0.190869;-0.078438
