index;x;y;z
157;-0.001584;-0.011640;0.054720
158;-0.003143;-0.027964;0.036405
159;0.010285;-0.013806;0.043526
160;0.027051;0.024755;0.066674
161;0.023300;0.036115;0.052538
162;0.008310;0.031218;0.021928
163;-0.005978;0.013207;-0.008535
164;-0.032496;-0.028308;-0.063450
165;-0.043787;-0.052373;-0.093458
166;-0.045039;-0.066391;-0.113250
167;-0.032289;-0.057589;-0.101760
168;-0.008515;-0.023408;-0.067649
169;0.014304;0.005230;-0.027490
170;0.029770;0.042304;0.023272
171;0.037078;0.055080;0.049942
172;0.024245;0.047353;0.064043
173;0.013950;0.031103;0.065053
174;0.004944;0.006435;0.064319
175;-0.001369;-0.009295;0.057078
176;-0.006813;-0.016263;0.036570
177;0.003748;-0.011444;0.037481
178;0.022169;0.019204;0.052450
179;0.026477;0.035961;0.052821
180;0.013632;0.035538;0.028839
181;0.001057;0.017966;0.000634
182;-0.023130;-0.024244;-0.050982
183;-0.042632;-0.057455;-0.089058
184;-0.050608;-0.076172;-0.114695
185;-0.036609;-0.062521;-0.106608
186;-0.024959;-0.028349;-0.069234
187;0.002661;0.000098;-0.035040
188;0.028984;0.041893;0.018292
189;0.036976;0.060800;0.045973
190;0.033212;0.056334;0.067884
191;0.019845;0.032785;0.066300
192;0.003277;0.003633;0.062409
193;-0.001678;-0.011070;0.057747
194;-0.006459;-0.023749;0.037785
195;0.001812;-0.016667;0.033407
196;0.010802;0.014681;0.046591
197;0.022525;0.038551;0.053570
198;0.018820;0.045527;0.041046
199;0.012016;0.033536;0.021384
200;-0.005888;-0.003622;-0.023306
201;-0.023801;-0.036176;-0.057800
202;-0.050486;-0.076173;-0.104366
203;-0.055344;-0.089148;-0.126781
204;-0.040254;-0.061483;-0.100485
205;-0.013036;-0.025741;-0.070347
206;0.011060;0.027687;-0.012276
207;0.027208;0.059102;0.028917
208;0.041708;0.072414;0.061555
209;0.038726;0.061204;0.072548
210;0.020037;0.023830;0.069466
211;0.006841;-0.002862;0.061875
212;-0.009362;-0.029866;0.045797
213;-0.013486;-0.035397;0.026153
214;-0.003208;-0.008358;0.039301
215;0.023994;0.032531;0.070661
216;0.027488;0.053822;0.067126
217;0.011879;0.046485;0.034882
218;-0.002501;0.009332;-0.016438
219;-0.023761;-0.031238;-0.059440
220;-0.048216;-0.073367;-0.106610
221;-0.050330;-0.085196;-0.122066
222;-0.040621;-0.061460;-0.100236
223;-0.021652;-0.030059;-0.069182
224;0.016999;0.019778;-0.014963
225;0.031391;0.052227;0.027716
226;0.036722;0.068764;0.057442
227;0.028327;0.059272;0.066327
228;0.012982;0.025606;0.065170
229;0.006457;0.000824;0.061603
230;-0.003107;-0.022846;0.050843
231;-0.007185;-0.027239;0.036040
232;0.004667;-0.006974;0.041926
233;0.016815;0.018692;0.053851
234;0.018385;0.036122;0.045309
235;0.010894;0.035048;0.025786
236;-0.008126;0.010130;-0.015997
237;-0.025875;-0.019493;-0.053842
