index;x;y;z
0;-0.019572;0.003204;-0.064478
1;-0.002731;0.000068;-0.005150
2;-0.005110;0.003190;-0.009023
3;-0.003342;0.002531;-0.001265
4;0.002213;0.003886;0.002430
5;0.000267;0.001722;0.003374
6;-0.000145;0.000932;0.004440
7;0.001205;0.001080;0.003519
8;-0.001945;0.000353;0.002228
9;-0.000354;0.001337;0.002070
10;-0.001107;0.002365;0.002311
11;-0.001726;0.001814;0.002968
12;-0.000128;0.002670;0.003639
13;-0.000850;0.000891;0.002276
14;0.000186;-0.000072;0.003351
15;0.000356;0.002490;0.003830
16;-0.000194;-0.000042;0.001740
17;0.000901;0.000752;0.000137
18;-0.001615;0.003386;0.001001
19;-0.001222;0.003241;0.001140
20;0.000969;0.003223;0.004382
21;0.000549;0.002070;0.005532
22;0.001170;0.001031;0.002512
23;-0.000336;0.001432;0.003219
24;-0.000626;0.000667;0.002108
25;0.000360;0.002058;0.000000
26;-0.000023;0.002079;0.000230
27;-0.001552;0.001656;0.003029
28;0.001721;0.002936;0.003228
29;0.000766;0.002169;0.005606
30;0.000935;0.002419;0.001442
31;-0.000047;0.002618;0.003014
32;0.000215;0.000849;0.003160
33;0.001579;0.000231;0.005117
34;-0.000259;0.001966;0.002380
35;0.000202;0.002854;0.003879
36;-0.000079;0.001176;0.000720
37;0.000204;0.000660;0.001969
38;-0.000037;0.000966;0.002671
39;-0.000352;0.002106;0.000925
40;-0.000304;0.000771;0.002135
41;-0.001175;0.002163;0.002651
42;0.000171;0.002836;0.002818
43;-0.000453;0.002489;0.001900
44;-0.000369;0.000559;0.003384
45;-0.000910;0.001683;-0.000580
46;-0.000262;0.001882;0.004140
47;-0.000707;0.001896;0.003460
48;0.000977;0.002531;0.003189
49;0.000681;0.002032;0.002287
50;-0.000473;0.000350;0.002594
51;-0.002243;0.001280;0.003662
52;0.000246;0.003025;0.001294
53;-0.000270;0.003709;0.002190
54;-0.000002;0.005121;0.001544
55;0.000218;0.003691;0.001531
56;0.000070;-0.000073;0.003694
57;0.000579;-0.001831;0.002720
58;0.000081;-0.001905;0.002993
59;-0.001242;0.000863;0.005242
60;-0.000640;0.003889;0.001144
61;-0.001691;0.003943;-0.000315
62;-0.000815;0.003713;0.000561
63;0.000518;0.001980;0.001396
64;-0.000039;0.000190;0.003403
65;-0.000940;-0.001485;0.005452
66;-0.000427;-0.000537;0.002972
67;-0.001325;0.001558;0.002618
68;-0.001875;0.004386;0.001740
69;0.001010;0.005110;0.000454
70;0.000442;0.004647;-0.000727
71;-0.000156;0.002569;0.002149
72;0.000242;-0.000937;0.004628
73;-0.000056;-0.000730;0.005263
74;-0.000250;-0.000371;0.002735
75;-0.000072;0.001963;0.003377
76;-0.000374;0.002906;0.002652
77;0.000539;0.003706;0.000978
78;0.000363;0.004275;0.004699
79;0.000062;0.002051;0.003644
80;0.000093;0.000296;0.002819
81;-0.001629;0.001533;0.006304
82;-0.001343;0.000629;0.002644
83;-0.001089;0.001323;0.003839
84;0.000199;0.000338;0.000564
85;-0.000631;0.002573;0.002003
86;-0.000910;0.003931;0.001377
87;0.000113;0.002375;0.002247
88;-0.000464;0.002312;0.003698
89;0.000139;0.000592;0.003283
90;-0.000061;-0.000732;0.004273
91;-0.000371;0.001228;0.004360
92;0.000654;0.001403;0.001654
93;0.000611;0.002622;0.001997
94;0.001167;0.002594;0.002997
95;0.001156;0.002293;0.001835
96;0.000437;0.001383;0.002747
97;0.000497;0.000647;0.004444
98;-0.000802;0.000474;0.003318
99;-0.000743;-0.000414;0.002825
100;0.000295;0.000967;0.003990
101;-0.001982;0.000850;0.004408
102;0.000291;0.004123;0.001916
103;0.000224;0.002806;0.002667
104;-0.000542;0.002828;0.001162
105;-0.000092;0.001898;0.004350
106;-0.000865;-0.000046;0.003994
107;-0.000852;0.000219;0.005898
108;0.000502;0.002461;0.003298
109;0.000580;0.001540;0.002075
110;0.000966;0.002885;0.000737
111;0.000597;0.003396;0.000061
112;-0.001716;0.001529;0.003809
113;0.000429;-0.000251;0.003048
114;0.000069;0.000528;0.001522
115;0.001660;0.000619;0.002417
116;0.000861;0.000554;0.002480
117;-0.001042;0.002010;0.001561
118;-0.001239;0.002851;0.002591
119;0.000018;0.001682;0.005044
120;-0.000711;-0.026616;0.017995
121;0.000814;-0.064223;0.023344
122;-0.003161;-0.161912;0.061415
123;0.002148;-0.284481;0.075999
124;-0.007452;-0.370192;0.108524
125;-0.011405;-0.411199;0.183297
126;-0.004937;-0.446787;0.233894
127;-0.006623;-0.453088;0.275854
128;-0.007381;-0.445497;0.314047
129;-0.008819;-0.444109;0.314073
130;-0.012233;-0.438269;0.340578
131;-0.012644;-0.441865;0.347660
132;-0.003930;-0.454149;0.354257
133;0.004219;-0.459276;0.353810
134;-0.020567;-0.452586;0.344318
135;-0.018437;-0.455692;0.347010
136;-0.001751;-0.475347;0.334636
137;-0.008218;-0.499186;0.319866
138;0.009908;-0.505994;0.304468
139;-0.018083;-0.508007;0.331952
140;-0.011557;-0.517987;0.317582
141;-0.005786;-0.507874;0.316328
142;0.012997;-0.491945;0.322513
143;0.008468;-0.500192;0.318161
144;-0.004793;-0.501713;0.323699
145;-0.000012;-0.489009;0.299652
146;-0.022315;-0.512623;0.316734
147;-0.034115;-0.524566;0.305876
148;-0.019124;-0.478250;0.287367
149;-0.019741;-0.489205;0.309695
150;0.009115;-0.496842;0.312961
151;-0.007489;-0.491649;0.306067
152;-0.016162;-0.476057;0.352592
153;0.004533;-0.495552;0.341960
154;-0.019378;-0.489074;0.340508
155;0.001499;-0.484799;0.327726
156;-0.003179;-0.498715;0.288830
157;0.010944;-0.531309;0.246356
158;-0.083258;-0.534547;0.323806
159;-0.008857;-0.447850;0.353862
160;-0.037508;-0.505184;0.290664
161;-0.036662;-0.488833;0.342312
162;-0.008737;-0.493671;0.341451
163;-0.003191;-0.501624;0.314703
164;-0.018235;-0.448779;0.345875
165;0.020749;-0.461958;0.373429
